family,n_vars,stage,semantic_classes,slw_bits,semantic_rank,boundary_fraction,runtime_ms
xor_chain_inputs6,11,6,17,5,16,0.5,3.7163229999350733
xor_chain_inputs6,11,8,5,3,4,0.125,3.6397280000528554
xor_chain_inputs6,11,10,2,1,1,0.03125,4.345237000052293
php_3_2,6,0,1,0,0,0.0,0.08782199984125327
php_3_2,6,2,1,0,0,0.0,0.07031599989204551
php_3_2,6,4,1,0,0,0.0,0.07204800022009294
php_3_2,6,6,1,0,0,0.0,0.09994999982154695
php_4_3,12,0,1,0,0,0.0,7.813678000275104
php_4_3,12,2,1,0,0,0.0,6.338491999940743
php_4_3,12,4,1,0,0,0.0,6.099122000250645
php_4_3,12,6,1,0,0,0.0,6.62886800000706
php_4_3,12,8,1,0,0,0.0,5.978521999622899
php_4_3,12,10,1,0,0,0.0,9.112027999890415
tseitin_cubic_v4_odd,6,0,1,0,0,0.0,0.13037500002610614
tseitin_cubic_v4_odd,6,2,1,0,0,0.0,0.11031500025637797
tseitin_cubic_v4_odd,6,4,1,0,0,0.0,0.11289999974906095
tseitin_cubic_v4_odd,6,6,1,0,0,0.0,0.14930399993318133
tseitin_cubic_v6_odd,9,0,1,0,0,0.0,0.993361999917397
tseitin_cubic_v6_odd,9,2,1,0,0,0.0,0.9266719998777262
tseitin_cubic_v6_odd,9,4,1,0,0,0.0,0.8707689999027934
tseitin_cubic_v6_odd,9,6,1,0,0,0.0,0.9039380001922837
tseitin_cubic_v6_odd,9,8,1,0,0,0.0,1.0023859999819251
tseitin_cubic_v8_odd,12,0,1,0,0,0.0,7.8221009998742375
tseitin_cubic_v8_odd,12,2,1,0,0,0.0,7.362740999724338
tseitin_cubic_v8_odd,12,4,1,0,0,0.0,6.992264000018622
tseitin_cubic_v8_odd,12,6,1,0,0,0.0,7.130872999823623
tseitin_cubic_v8_odd,12,8,1,0,0,0.0,7.342780000271887
tseitin_cubic_v8_odd,12,10,1,0,0,0.0,7.603862999985722
