family,n_vars,stage,prefixes,semantic_classes,slw_bits,semantic_rank,accept_prefixes,reject_prefixes,boundary_prefixes,boundary_fraction,future_table_bits,runtime_ms,raw_state_bits,E,R,S,T
horn_chain_n10,10,10,1024,2,1,1,1,1023,0,0.0,1024,1.3573890000770916,10240,1.0,10.0,2.0,1.0
random2_n10_s1010,10,0,1,1,0,0,0,1,0,0.0,1024,1.3014760002079129,0,0.0,0.0,0.0,0.0
random2_n10_s1010,10,1,2,1,0,0,0,2,0,0.0,1024,1.1849499996969826,2,0.0,1.0,0.0,0.0
random2_n10_s1010,10,2,4,1,0,0,0,4,0,0.0,1024,1.0923310001089703,8,0.0,2.0,0.0,0.0
random2_n10_s1010,10,3,8,1,0,0,0,8,0,0.0,1024,1.069857999937085,24,0.0,3.0,0.0,0.0
random2_n10_s1010,10,4,16,1,0,0,0,16,0,0.0,1024,1.1262120001447329,64,0.0,4.0,0.0,0.0
random2_n10_s1010,10,5,32,1,0,0,0,32,0,0.0,1024,1.1176189996149333,160,0.0,5.0,0.0,0.0
random2_n10_s1010,10,6,64,1,0,0,0,64,0,0.0,1024,1.0703880002438382,384,0.0,6.0,0.0,0.0
random2_n10_s1010,10,7,128,1,0,0,0,128,0,0.0,1024,1.1466230002952216,896,0.0,7.0,0.0,0.0
random2_n10_s1010,10,8,256,1,0,0,0,256,0,0.0,1024,1.180793999992602,2048,0.0,8.0,0.0,0.0
random2_n10_s1010,10,9,512,1,0,0,0,512,0,0.0,1024,1.4651110000158951,4608,0.0,9.0,0.0,0.0
random2_n10_s1010,10,10,1024,1,0,0,0,1024,0,0.0,1024,2.8899210001327447,10240,0.0,10.0,0.0,0.0
random3_n4_s2411,4,0,1,1,0,1,0,0,1,1.0,16,0.04278500000509666,0,0.0,0.0,0.0,1.0
random3_n4_s2411,4,1,2,2,1,1,0,1,1,0.5,16,0.03709500015247613,2,1.0,1.0,2.0,1.584962500721156
random3_n4_s2411,4,2,4,2,1,1,0,3,1,0.25,16,0.0345819998983643,8,1.0,2.0,2.0,1.584962500721156
random3_n4_s2411,4,3,8,2,1,1,0,7,1,0.125,16,0.04412699991007685,24,1.0,3.0,2.0,1.584962500721156
random3_n4_s2411,4,4,16,2,1,1,1,15,0,0.0,16,0.04560900015349034,64,1.0,4.0,2.0,1.0
planted3_n4_s3411,4,0,1,1,0,1,0,0,1,1.0,16,0.04571900035443832,0,0.0,0.0,0.0,1.0
planted3_n4_s3411,4,1,2,2,1,1,0,1,1,0.5,16,0.04014000023744302,2,1.0,1.0,2.0,1.584962500721156
planted3_n4_s3411,4,2,4,2,1,1,0,3,1,0.25,16,0.04499700025917264,8,1.0,2.0,2.0,1.584962500721156
planted3_n4_s3411,4,3,8,2,1,1,0,7,1,0.125,16,0.04424600001584622,24,1.0,3.0,2.0,1.584962500721156
planted3_n4_s3411,4,4,16,2,1,1,1,15,0,0.0,16,0.048552999942330644,64,1.0,4.0,2.0,1.0
random3_n4_s2429,4,0,1,1,0,1,0,0,1,1.0,16,0.039848999676905805,0,0.0,0.0,0.0,1.0
random3_n4_s2429,4,1,2,2,1,1,0,1,1,0.5,16,0.03585400008887518,2,1.0,1.0,2.0,1.584962500721156
random3_n4_s2429,4,2,4,2,1,1,0,3,1,0.25,16,0.040219999846158316,8,1.0,2.0,2.0,1.584962500721156
random3_n4_s2429,4,3,8,2,1,1,0,7,1,0.125,16,0.03991999983554706,24,1.0,3.0,2.0,1.584962500721156
random3_n4_s2429,4,4,16,2,1,1,1,15,0,0.0,16,0.044056000206182944,64,1.0,4.0,2.0,1.0
planted3_n4_s3429,4,0,1,1,0,1,0,0,1,1.0,16,0.04565800009004306,0,0.0,0.0,0.0,1.0
planted3_n4_s3429,4,1,2,2,1,2,0,0,2,1.0,16,0.08464700022159377,2,1.0,1.0,2.0,2.0
planted3_n4_s3429,4,2,4,3,2,2,0,1,3,0.75,16,0.04662000037569669,8,1.584962500721156,2.0,3.169925001442312,2.584962500721156
planted3_n4_s3429,4,3,8,2,1,1,0,4,4,0.5,16,0.04470699968806002,24,1.0,3.0,2.0,2.584962500721156
planted3_n4_s3429,4,4,16,2,1,1,4,12,0,0.0,16,0.049854999815579504,64,1.0,4.0,2.0,1.0
random3_n4_s2447,4,0,1,1,0,1,0,0,1,1.0,16,0.04488800004764926,0,0.0,0.0,0.0,1.0
random3_n4_s2447,4,1,2,2,1,1,0,1,1,0.5,16,0.04505800006882055,2,1.0,1.0,2.0,1.584962500721156
random3_n4_s2447,4,2,4,2,1,1,0,3,1,0.25,16,0.04099199986740132,8,1.0,2.0,2.0,1.584962500721156
random3_n4_s2447,4,3,8,2,1,1,0,7,1,0.125,16,0.04207300025882432,24,1.0,3.0,2.0,1.584962500721156
random3_n4_s2447,4,4,16,2,1,1,1,15,0,0.0,16,0.04772100010086433,64,1.0,4.0,2.0,1.0
planted3_n4_s3447,4,0,1,1,0,1,0,0,1,1.0,16,0.04405599975143559,0,0.0,0.0,0.0,1.0
planted3_n4_s3447,4,1,2,2,1,2,0,0,2,1.0,16,0.04119200002605794,2,1.0,1.0,2.0,2.0
planted3_n4_s3447,4,2,4,3,2,2,0,2,2,0.5,16,0.04593900030158693,8,1.584962500721156,2.0,3.169925001442312,2.321928094887362
planted3_n4_s3447,4,3,8,3,2,2,0,6,2,0.25,16,0.04880300002696458,24,1.584962500721156,3.0,3.169925001442312,2.321928094887362
planted3_n4_s3447,4,4,16,2,1,1,2,14,0,0.0,16,0.04966400001649163,64,1.0,4.0,2.0,1.0
random3_n6_s2611,6,0,1,1,0,1,0,0,1,1.0,64,0.15647500003979076,0,0.0,0.0,0.0,1.0
random3_n6_s2611,6,1,2,2,1,1,0,1,1,0.5,64,0.2003909999075404,2,1.0,1.0,2.0,1.584962500721156
random3_n6_s2611,6,2,4,2,1,1,0,3,1,0.25,64,0.15325100002883119,8,1.0,2.0,2.0,1.584962500721156
random3_n6_s2611,6,3,8,2,1,1,0,7,1,0.125,64,0.1502159998381103,24,1.0,3.0,2.0,1.584962500721156
random3_n6_s2611,6,4,16,2,1,1,0,15,1,0.0625,64,0.15304999988074997,64,1.0,4.0,2.0,1.584962500721156
random3_n6_s2611,6,5,32,2,1,1,0,31,1,0.03125,64,0.1624740002625913,160,1.0,5.0,2.0,1.584962500721156
random3_n6_s2611,6,6,64,2,1,1,1,63,0,0.0,64,0.18005999982051435,384,1.0,6.0,2.0,1.0
planted3_n6_s3611,6,0,1,1,0,1,0,0,1,1.0,64,0.1415030001226114,0,0.0,0.0,0.0,1.0
planted3_n6_s3611,6,1,2,2,1,2,0,0,2,1.0,64,0.14295500022853957,2,1.0,1.0,2.0,2.0
planted3_n6_s3611,6,2,4,3,2,2,0,2,2,0.5,64,0.13903900025979965,8,1.584962500721156,2.0,3.169925001442312,2.321928094887362
planted3_n6_s3611,6,3,8,3,2,2,0,6,2,0.25,64,0.13834699984727195,24,1.584962500721156,3.0,3.169925001442312,2.321928094887362
planted3_n6_s3611,6,4,16,3,2,2,0,14,2,0.125,64,0.14118199987933622,64,1.584962500721156,4.0,3.169925001442312,2.321928094887362
planted3_n6_s3611,6,5,32,3,2,2,0,30,2,0.0625,64,0.17512299973532208,160,1.584962500721156,5.0,3.169925001442312,2.321928094887362
planted3_n6_s3611,6,6,64,2,1,1,2,62,0,0.0,64,0.166970999998739,384,1.0,6.0,2.0,1.0
random3_n6_s2629,6,0,1,1,0,1,0,0,1,1.0,64,0.13689600018551573,0,0.0,0.0,0.0,1.0
random3_n6_s2629,6,1,2,2,1,2,0,0,2,1.0,64,0.13690499963558977,2,1.0,1.0,2.0,2.0
random3_n6_s2629,6,2,4,3,2,2,0,2,2,0.5,64,0.14310500000647153,8,1.584962500721156,2.0,3.169925001442312,2.321928094887362
random3_n6_s2629,6,3,8,3,2,2,0,6,2,0.25,64,0.16048099996623932,24,1.584962500721156,3.0,3.169925001442312,2.321928094887362
random3_n6_s2629,6,4,16,3,2,2,0,13,3,0.1875,64,0.1380180001433473,64,1.584962500721156,4.0,3.169925001442312,2.584962500721156
random3_n6_s2629,6,5,32,2,1,1,0,28,4,0.125,64,0.1453280001442181,160,1.0,5.0,2.0,2.584962500721156
random3_n6_s2629,6,6,64,2,1,1,4,60,0,0.0,64,0.1650280000831117,384,1.0,6.0,2.0,1.0
planted3_n6_s3629,6,0,1,1,0,1,0,0,1,1.0,64,0.13385100010054884,0,0.0,0.0,0.0,1.0
planted3_n6_s3629,6,1,2,2,1,2,0,0,2,1.0,64,0.15404199984914158,2,1.0,1.0,2.0,2.0
planted3_n6_s3629,6,2,4,4,2,4,0,0,4,1.0,64,0.1384779998261365,8,2.0,2.0,4.0,3.0
planted3_n6_s3629,6,3,8,5,3,4,0,4,4,0.5,64,0.15142700021897326,24,2.321928094887362,3.0,4.643856189774724,3.169925001442312
planted3_n6_s3629,6,4,16,5,3,4,0,11,5,0.3125,64,0.14961499982746318,64,2.321928094887362,4.0,4.643856189774724,3.321928094887362
planted3_n6_s3629,6,5,32,3,2,2,0,26,6,0.1875,64,0.15554299989162246,160,1.584962500721156,5.0,3.169925001442312,3.169925001442312
planted3_n6_s3629,6,6,64,2,1,1,6,58,0,0.0,64,0.16824299973450252,384,1.0,6.0,2.0,1.0
